セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Pro+4WD 6人乗り,2026年モデル 増程 Max4WD 6人乗り,2026年モデル 増程 Ultra4WD 6人乗り,2026年モデル 増程 Pro+4WD 5人乗り,2026年モデル 増程 Max4WD 5人乗り,2026年モデル 増程 Ultra4WD 5人乗り,2026年モデル 純電 Max長距離版 6人乗り,2026年モデル 純電 Max長距離版 5人乗り,2026年モデル 純電 Max4WD 6人乗り,2026年モデル 純電 Ultra4WD 6人乗り,2026年モデル 純電 Max4WD 5人乗り,2026年モデル 純電 Ultra4WD 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 6人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 5人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 6人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 6人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 5人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 6人乗り
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,-,-,-,-,-,-,-,-,-,-,-,● 6（座席数）,● 6（座席数）,● 6（座席数）,● 6（座席数）,● 6（座席数）,● 6（座席数）,● 6（座席数）,● 6（座席数）
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,-,-,-,-,-,-,-,-,-,-,-,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
屏幕/系统,ディスプレイ・システム,多指飞屏操控,マルチタッチスクリーン操作,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内生体モニタリングシステム,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索"
智能化配置,スマート機能装備,模拟声浪,シミュレートエンジンサウンド,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,○,○,●,○,○,●,○,○,○,●,○,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,-,●,●,-,●,●,●,-,●,-,○,○,○,○,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,-,-,●,-,-,●,-,-,-,●,-,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 26インチ,● 26インチ,● 68インチ,● 26インチ,● 26インチ,● 68インチ,● 26インチ,● 26インチ,● 26インチ,● 68インチ,● 26インチ,● 68インチ,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,"● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
● ストリーミングミラー",● 自動防眩目,"● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
○ ストリーミングミラー","● 自動防眩目
● ストリーミングミラー",● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席4個,● 前席2個／後席1個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 100W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
○ レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
○ ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席",● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,● リクライニング調整,● リクライニング調整,"● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,"● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,● リクライニング調整,● リクライニング調整,"● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,"● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,"● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整",● リクライニング調整,"● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,后排小桌板,後部小テーブル,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"○ 運転席
● 2列目（右側）","○ 運転席
● 2列目（右側）","● 運転席
● 2列目（右側）",○ 運転席,○ 運転席,● 運転席,"○ 運転席
● 2列目（右側）",○ 運転席,"○ 運転席
● 2列目（右側）","● 運転席
● 2列目（右側）",○ 運転席,● 運転席,-,● 2列目（右側）,-,● 2列目（右側）,-,● 2列目（右側）,-,● 2列目（右側）
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,-,-,-,●,-,●,●,-,-,-,●,-,●,-,●,-,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-,● リクライニング調整,-,● リクライニング調整,● リクライニング調整,-,-,-,● リクライニング調整,-,● リクライニング調整,-,● リクライニング調整,-,● リクライニング調整
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2,● 2-2-2,● 2-2-2,-,-,-,● 2-2-2,-,● 2-2-2,● 2-2-2,-,-,-,● 2-2-2,-,● 2-2-2,-,● 2-2-2,-,● 2-2-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー,"● 15スピーカー
○ 19スピーカー","● 15スピーカー
○ 19スピーカー","● 15スピーカー
○ 19スピーカー","● 15スピーカー
○ 19スピーカー",● 19スピーカー,● 19スピーカー,● 19スピーカー,● 19スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
