セクション,セクション_ja,項目,項目_ja,2026年モデル Elite 増程版,2026年モデル Elite 増程版 52.01kWh,2026年モデル Max+ 増程版,2026年モデル Max+ 増程版 52.01kWh,2026年モデル Ultra 増程版,2026年モデル Ultra 増程版 4WD,2026年モデル Elite 純電版,2026年モデル Max+ 純電版,2026年モデル Ultra 純電版 4WD,2024年モデル 改良版 Pro+ 純電版,2024年モデル Pro+ 純電版,2024年モデル Max 純電版,2024年モデル Max 純電探索版,2024年モデル 改良版 Pro+ 増程版,2024年モデル Pro+ 増程版,2024年モデル Max 増程版,2024年モデル Max 増程版 4WD,2024年モデル Ultra 増程版 4WD,2024年モデル Max 増程探索版,2024年モデル Max 純電版 4WD,2024年モデル Ultra 純電版 4WD
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ,● 35.4インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーターパネル画面解像度（px）,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー",● 自動防眩目,● 自動防眩目,● 自動防眩目,"● 自動防眩目
● ストリーミングミラー",● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 60W,● 60W,● 60W,● 27W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,● 50W,-,-,-,-,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,"○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革",● 本革,● 本革,"○ 本革
● 合成皮革","○ 本革
● 合成皮革",● 本革,"○ 本革
● 合成皮革",● 合成皮革,"○ 本革
● 合成皮革","○ 本革
● 合成皮革","○ 本革
● 合成皮革",● 合成皮革,"○ 本革
● 合成皮革","○ 本革
● 合成皮革",● 本革,"○ 本革
● 合成皮革","○ 本革
● 合成皮革",● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能",● シートヒーター,● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能",● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能",● シートヒーター,● シートヒーター,"● シートヒーター
● ベンチレーション
● マッサージ機能"
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目,● 1列目
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）,● Meridian（英国ブランド）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 16スピーカー
○ 25スピーカー（10,000元）","● 16スピーカー
○ 25スピーカー（10,000元）",● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,"● 16スピーカー
○ 25スピーカー（10,000元）",● 25スピーカー,● 25スピーカー,● 16スピーカー,● 16スピーカー,● 25スピーカー,● 25スピーカー,● 16スピーカー,● 16スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー,● 25スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,●,●,-,-,●,-,-,●,●,-,-,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,"○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）","○ （2,000元）",○,-,-,-,○,-,-,-,-,-,-,-
特色配置,特徴装備,HALO交互屏,HALOインタラクティブスクリーン,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,-,-,○
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,尊享套装,プレミアムパッケージ,"○ オプション（10,000元）","○ オプション（10,000元）","○ オプション（10,000元）","○ オプション（10,000元）",-,-,"○ オプション（10,000元）","○ オプション（10,000元）",-,"○ オプション（10,000元）",-,"○ オプション（10,000元）","○ オプション（10,000元）","○ オプション（10,000元）",-,"○ オプション（10,000元）","○ オプション（10,000元）",-,"○ オプション（10,000元）","○ オプション（10,000元）",-
选装包,オプションパッケージ,探索套装,エクスプローラーパッケージ,-,-,-,-,"○ オプション（12,000元）","○ オプション（12,000元）",-,-,"○ オプション（12,000元）",-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,光学科技套装,オプティカルテクノロジーパッケージ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"○ オプション（18,000元）",-,-,"○ オプション（18,000元）"
