セクション,セクション_ja,項目,項目_ja,2019年モデル 1.6L MT 快適版 国V,2019年モデル 1.6L AT ファッショナブル版 国V,2019年モデル 1.6L MT スマートサンルーフ版 国V,2019年モデル 1.6L AT スマートコネクト版 国V,2019年モデル 1.6L MT 快適版 国VI,2019年モデル 1.6L AT ファッショナブル版 国VI,2019年モデル 1.6L MT スマートサンルーフ版 国VI,2019年モデル 1.6L AT スマートコネクト版 国VI,2018年モデル 1.6L MT 快適版 Smart,2018年モデル 1.6L MT スマートサンルーフ版 Value,2018年モデル 1.6L AT Smart,2018年モデル 1.6L AT スマートコネクト版 Value Connect,2018年モデル 1.6L AT スマートラグジュアリー版 Value Comfort,2016年モデル 1.6L MT GL,2016年モデル 1.6L AT GL,2016年モデル 1.6L MT GLS,2016年モデル 1.6L AT GLS,2014年モデル 1.6L MT GL,2014年モデル 1.6L AT GL,2014年モデル 1.6L MT GLS,2014年モデル 1.6L AT GLS,2014年モデル 1.6L AT プレミアム,2014年モデル 1.6L MT プレミアムスペシャル,2014年モデル 1.6L AT プレミアムスペシャル,2012年モデル 1.6L MT GL 記念版,2012年モデル 1.6L AT GL 記念版,2012年モデル 1.6L MT GLS 記念版,2012年モデル 1.6L AT GLS 記念版,2012年モデル 1.6L AT プレミアム 記念版,2011年モデル 1.6L MT GL,2011年モデル 1.6L AT GL,2011年モデル 1.6L MT GLS,2011年モデル 1.6L AT GLS,2011年モデル 1.6L AT プレミアム,2011年モデル 2.0L AT TOP,2009年モデル 1.6L MT GL,2009年モデル 1.6L AT GL,2009年モデル 1.6L MT GLS,2009年モデル 1.6L AT GLS,2009年モデル 1.6L AT プレミアム,2009年モデル 2.0L AT TOP
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,○ ヒーター付き,-,-,-,○ ヒーター付き,-,-,-,-,○ ヒーター付き,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前● / 後,前● / 後,前● / 後●,前● / 後●,前● / 後,前● / 後,前● / 後●,前● / 後●,前● / 後,前● / 後●,前● / 後,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,前● / 後●,前● / 後●,-,-,前● / 後●,前● / 後●,前● / 後●,前● / 後●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 4～5スピーカー,● 4～5スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 4～5スピーカー,● 4～5スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 4～5スピーカー,● 4～5スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 4～5スピーカー,● 4～5スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 4～5スピーカー,● 4～5スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー,● 6～7スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,"● マニュアルエアコン
○ オートエアコン",● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,"● マニュアルエアコン
○ オートエアコン",● オートエアコン,● マニュアルエアコン,"● マニュアルエアコン
○ オートエアコン",● マニュアルエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,智能选装包,スマートオプションパッケージ,-,-,-,-,-,-,○ オプション（価格未定）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
