セクション,セクション_ja,項目,項目_ja,2026年モデル エクセレント 280TSI ビジネス版,2026年モデル Pro 300TSI ドラゴン耀版,2026年モデル Pro 300TSI 星空ドラゴン耀版,2026年モデル エクセレント 330TSI エリート版,2026年モデル エクセレント 330TSI 星空エリート版,2026年モデル エクセレント 380TSI ドラゴン騰版,2026年モデル エクセレント 380TSI 星空ドラゴン騰版,2026年モデル エクセレント 380TSI ドラゴン耀版,2026年モデル エクセレント 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン耀版,2026年モデル Pro 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン運版,2026年モデル Pro 380TSI 星空ドラゴン運版,2026年モデル Pro 380TSI ドラゴン尊版,2026年モデル Pro 380TSI 星空ドラゴン尊版,2026年モデル Pro 380TSI 行政版,2025年モデル エクセレント 280TSI ビジネス版,2025年モデル Pro 300TSI ドラゴン耀版,2025年モデル Pro 300TSI 星空ドラゴン耀版,2025年モデル エクセレント 330TSI エリート版,2025年モデル エクセレント 330TSI 星空エリート版,2025年モデル エクセレント 380TSI ドラゴン騰版,2025年モデル エクセレント 380TSI 星空ドラゴン騰版,2025年モデル エクセレント 380TSI ドラゴン耀版,2025年モデル エクセレント 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン耀版,2025年モデル Pro 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン運版,2025年モデル Pro 380TSI 星空ドラゴン運版,2025年モデル Pro 380TSI ドラゴン尊版,2025年モデル Pro 380TSI 星空ドラゴン尊版
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),-,● 128,● 128,-,-,-,-,-,-,● 128,● 128,● 128,● 128,● 128,● 128,● 128,-,● 128,● 128,-,-,-,-,-,-,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,○,○,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 5G,● 5G,-,-,-,-,-,-,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,● 5G,● 5G,-,-,-,-,-,-,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,V2X通讯,V2X通信,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,-,-,-,-,-,-,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,● ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索、オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）、メンテナンス予約,-,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索,-,-,○ 車両状態確認/診断、車両位置特定/車両探索,○ 車両状態確認/診断、車両位置特定/車両探索,● 車両状態確認/診断、車両位置特定/車両探索,● 車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、シートヒーター、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索,ドア操作、ウインドウ操作、エンジン始動、エアコン操作、ステアリングヒーター、シートヒーター、シートベンチレーション、車両状態確認/診断、車両位置特定/車両探索
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,プラスチック、レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● プラスチック,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● メカニカルシフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー,● 回転式電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,8インチ、10.2インチ,● 10.3インチ,● 10.3インチ,8インチ、10.2インチ,8インチ、10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 8インチ,● 10.3インチ,● 10.3インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ,● 10.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 手動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席1個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,-,● 45W,● 45W,-,-,-,-,-,-,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W,-,● 45W,● 45W,-,-,-,-,-,-,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,-,-,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,-,-,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 40W,● 40W,-,-,-,-,-,-,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W,-,● 15W,● 15W,-,-,-,-,-,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,合成皮革、レザー／スエード素材のミックス,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,合成皮革、レザー／スエード素材のミックス,● 合成皮革,合成皮革、レザー／スエード素材のミックス
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、レッグレスト調整、ランバーサポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,-,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● ヒーター付き,● ヒーター付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き,-,● ヒーター付き,● ヒーター付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,● ヒーター・ベンチレーション付き,ヒーター・ベンチレーション付き,ヒーター・ベンチレーション付き,ヒーター・ベンチレーション・マッサージ付き,ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き,● ヒーター・ベンチレーション・マッサージ付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-,-,-,-,-,-,-,-,-,○ リクライニング調整,○ リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,-,-,-,-,-,-,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,-,-,-,-,-,-,-,-,-,-,-,○ ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,○ ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き,● ヒーター・ベンチレーション・マッサージ・ヘッドレストスピーカー付き
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）,-,-,-,-,-,-,-,-,-,-,-,○ Harman/Kardon（ハーマンカードン）（5500元）,○ Harman/Kardon（ハーマンカードン）（5500元）,● Harman/Kardon（ハーマンカードン）,● Harman/Kardon（ハーマンカードン）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 9スピーカー,● 9スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 9スピーカー,● 9スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 16スピーカー,● 8スピーカー,● 9スピーカー,● 9スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 9スピーカー,● 9スピーカー,9スピーカー、16スピーカー,9スピーカー、16スピーカー,● 16スピーカー,● 16スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,● 30色,● 30色,-,-,-,-,● 10色,● 10色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,-,● 30色,● 30色,-,-,-,-,● 10色,● 10色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
